# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0214 -2.2216796875 0.00113800075044780406 0 0 0 0.000126080195409321874
0215 -2.1728515625 0.00114393453007663503 0 0 0 0.000128083883710148759
0216 -2.1240234375 0.00114975592437287742 0 0 0 0.000130070222840181454
0217 -2.0751953125 0.00115546435492668562 0 0 0 0.000132037933976877415
0218 -2.0263671875 0.00116105917184894793 0 0 0 0.000133985716325904638
0219 -1.9775390625 0.00116653966073376899 0 0 0 0.000135912249199964398
0220 -1.9287109375 0.00117190504916630405 0 0 0 0.000137816194199381317
0221 -1.8798828125 0.00117715451287315077 0 0 0 0.000139696197449255268
0222 -1.8310546875 0.0011822871815188919 0 0 0 0.000141550891869146324
0223 -1.7822265625 0.0011873006754189203 0 0 0 0.000143362411649707798
0224 -1.7333984375 0.00119218997797505746 0 0 0 0.000145136896696999667
0225 -1.6845703125 0.00119695432853181099 0 0 0 0.000146880023696025478
0226 -1.6357421875 0.00120159320659269471 0 0 0 0.0001485905656401929
0227 -1.5869140625 0.00120610604721328707 0 0 0 0.000150267293539323046
0228 -1.5380859375 0.00121049224693278983 0 0 0 0.000151908978844430989
0229 -1.4892578125 0.00121475116933647239 0 0 0 0.000153514395807408842
0230 -1.4404296875 0.00121888215029758548 0 0 0 0.000155082324269043519
0231 -1.3916015625 0.00122288450291872168 0 0 0 0.000156611552080301934
0232 -1.3427734375 0.00122675752220223477 0 0 0 0.000158100877612897198
0233 -1.2939453125 0.00123050048947592489 0 0 0 0.0001595491122629982
0234 -1.2451171875 0.00123411267658858062 0 0 0 0.000160955082942930552
0235 -1.1962890625 0.00123759334989427235 0 0 0 0.000162317633949467206
0236 -1.1474609375 0.00124094177403962706 0 0 0 0.000163635631160076732
0237 -1.0986328125 0.0012441572155654577 0 0 0 0.000164907962918386166
0238 -1.0498046875 0.00124723894633289867 0 0 0 0.000166133542751922348
0239 -1.0009765625 0.00125018624678252576 0 0 0 0.000167311311841718149
0240 -0.9521484375 0.00125299840903431961 0 0 0 0.000168440241349408808
0241 -0.9033203125 0.00125567473983234017 0 0 0 0.000169519334696644966
0242 -0.8544921875 0.00125821456334051693 0 0 0 0.000170547629791304155
0243 -0.8056640625 0.00126061722379250309 0 0 0 0.000171524201193770323
0244 -0.7568359375 0.00126288208799856471 0 0 0 0.000172448162216854573
0245 -0.7080078125 0.00126500854771174074 0 0 0 0.000173318666952894845
0246 -0.6591796875 0.00126699602185551506 0 0 0 0.000174134912221840055
